,key,alias,name,review_count,categories,display_address,addy_one,addy_two,addy_three,city,zip_code,phone
10,5380-sac,sacramento-county-historical-society-sacramento,Sacramento County Historical Society,1,['Landmarks & Historical Buildings'],"['5380 Elvas Ave', 'Sacramento, CA 95819']",5380 Elvas Ave,,,Sacramento,95819,+19165729858
11,5380-sie,sierra-sacramento-valley-medical-society-sacramento-2,Sierra Sacramento Valley Medical Society,14,['Museums'],"['5380 Elvas Ave', 'Sacramento, CA 95819']",5380 Elvas Ave,,,Sacramento,95819,+19164522671
12,5340-sel,sellands-market-cafe-sacramento,Selland's Market Cafe,973,"['Cafes', 'Bakeries', 'Caterers']","['5340 H St', 'Sacramento, CA 95819']",5340 H St,,,Sacramento,95819,+19167363333
13,5401-cas,casa-east-sac-sacramento,Casa East Sac,130,"['Beer, Wine & Spirits', 'American']","['5401 H St', 'Sacramento, CA 95819']",5401 H St,,,Sacramento,95819,+19168983702
14,5610-lef,leftys-taproom-sacramento-2,Leftys Taproom,56,"['Beer Bar', 'Barbeque', 'American']","['5610 Elvas Ave', 'Sacramento, CA 95819']",5610 Elvas Ave,,,Sacramento,95819,+19163890288
15,5487-mam,mamma-susannas-ristorante-italiano-sacramento,Mamma Susanna's Ristorante Italiano,542,['Italian'],"['5487 Carlson Dr', 'Sacramento, CA 95819']",5487 Carlson Dr,,,Sacramento,95819,+19164527465
16,5489-the,the-coconut-river-park-sacramento,The Coconut River Park,220,['Thai'],"['5489 Carlson Dr', 'Sacramento, CA 95819']",5489 Carlson Dr,,,Sacramento,95819,+19169938942
17,5493-roo,rooster-s-breakfast-and-mimosas-sacramento,Rooster’s Breakfast and Mimosas,460,['Breakfast & Brunch'],"['5493 Carlson Dr', 'Ste D', 'Sacramento, CA 95819']",5493 Carlson Dr,,,Sacramento,95819,+19165947281
18,5493-paw,paws-n-play-sacramento,Paws N' Play,1,"['Pet Stores', 'Pet Training', 'Dog Parks']","['5493 Carlson Dr', 'Ste A', 'Sacramento, CA 95819']",5493 Carlson Dr,,,Sacramento,95819,+19165351722
19,5535-hea,heavenlys-yogurt-sacramento-2,HeavenLy's Yogurt,181,"['Ice Cream & Frozen Yogurt', 'Shaved Ice', 'Shaved Snow']","['5535 H St', 'Ste 10', 'Sacramento, CA 95819']",5535 H St,,,Sacramento,95819,+19164556000
20,4001-jst,j-street-bistro-mercy-general-hospital-sacramento,J Street Bistro - Mercy General Hospital,2,"['Cafeteria', 'Breakfast & Brunch', 'Pizza']","['4001 J St', 'Fl 1', 'Sacramento, CA 95819']",4001 J St,,,Sacramento,95819,
21,5700-tup,tupelo-coffee-house-sacramento,Tupelo Coffee House,651,['Coffee & Tea'],"['5700 Elvas Ave', 'Sacramento, CA 95819']",5700 Elvas Ave,,,Sacramento,95819,+19165386124
22,5539-mrf,mr-falafel-sacramento-2,Mr Falafel,90,"['Falafel', 'Burgers', 'Wraps']","['5539 H St', 'Sacramento, CA 95819']",5539 H St,,,Sacramento,95819,+19165947126
23,5539-sta,starbucks-sacramento-68,Starbucks,59,['Coffee & Tea'],"['5539 H St', 'Sacramento, CA 95819']",5539 H St,,,Sacramento,95819,+19164514861
24,711-cha,charm-thai-sacramento,Charm Thai,24,"['Thai', 'Salad', 'Soup']","['711 56 St', 'Sacramento, CA 95819']",711 56 St,,,Sacramento,95819,+19164766969
25,1120-eas,east-portal-park-sacramento,East Portal Park,31,['Parks'],"['1120 Rodeo Way', 'Sacramento, CA 95819']",1120 Rodeo Way,,,Sacramento,95819,
26,5530-nop,nopalitos-sacramento,Nopalitos,510,"['Mexican', 'Breakfast & Brunch', 'Bakeries']","['5530 H St', 'Sacramento, CA 95819']",5530 H St,,,Sacramento,95819,+19164528226
27,723-clu,clubhouse-56-sacramento,Clubhouse 56,330,"['Sports Bars', 'Burgers']","['723 56th St', 'Sacramento, CA 95819']",723 56th St,,,Sacramento,95819,+19164545656
28,3939-tif,tiferet-coffee-house-sacramento-8,Tiferet Coffee House,16,"['Cafes', 'Coffee & Tea']","['3939 J St', 'Sacramento, CA 95819']",3939 J St,,,Sacramento,95819,+19163219321
29,5640-coo,cookies-drive-in-sacramento,Cookie's Drive In,288,"['Burgers', 'Hot Dogs', 'Sandwiches']","['5640 H St', 'Sacramento, CA 95819']",5640 H St,,,Sacramento,95819,+19164578353
30,848-sou,southside-vending-sacramento,Southside Vending,1,['Amusement Parks'],"['848 57th St', 'Sacramento, CA 95819']",848 57th St,,,Sacramento,95819,+19164523744
31,866-eas,east-sac-hot-dogs-sacramento,East Sac Hot Dogs,1,['Hot Dogs'],"['866 57th St', 'Sacramento, CA 95819']",866 57th St,,,Sacramento,95819,
32,866-por,porchlight-brewing-sacramento-2,Porchlight Brewing,107,"['Breweries', 'Food Trucks', 'Beer Bar']","['866 57th St', 'Sacramento, CA 95819']",866 57th St,,,Sacramento,95819,+19164765384
33,3610-the,the-nook-sacramento,The Nook,34,"['Wine Bars', 'Tapas/Small Plates']","['3610 McKinley Blvd', 'Sacramento, CA 95816']",3610 McKinley Blvd,,,Sacramento,95816,+19162284065
34,3839-the,the-green-room-sacramento,The Green Room,177,"['Gastropubs', 'Lounges']","['3839 J St', 'Sacramento, CA 95816']",3839 J St,,,Sacramento,95816,+19164751801
35,855-kau,kau-kau-sacramento,Kau Kau,447,"['New American', 'Hawaiian']","['855 57th St', 'Ste C', 'Sacramento, CA 95819']",855 57th St,,,Sacramento,95819,+19164317043
36,5641-the,the-mimosa-house-sacramento-4,The Mimosa House,1476,"['Wine Bars', 'Breakfast & Brunch', 'American']","['5641 J St', 'Sacramento, CA 95819']",5641 J St,,,Sacramento,95819,+19164004084
37,3754-mid,midtown-taqueria-sacramento,Midtown Taqueria,554,"['Mexican', 'Seafood']","['3754 J St', 'Sacramento, CA 95816']",3754 J St,,,Sacramento,95816,+19164527551
38,5636-roc,rocket-joes-sacramento,Rocket Joe's,49,['Coffee & Tea'],"['5636 J St', 'Sacramento, CA 95819']",5636 J St,,,Sacramento,95819,+19167369005
39,5644-cha,chando-s-tacos-sacramento,Chando’s Tacos,106,['Mexican'],"['5644 J St', 'Sacramento, CA 95819']",5644 J St,,,Sacramento,95819,+19164766312
40,4749-cho,chocolate-fish-coffee-roasters-sacramento,Chocolate Fish Coffee Roasters,469,"['Coffee & Tea', 'Coffee Roasteries']","['4749 Folsom Blvd', 'Sacramento, CA 95819']",4749 Folsom Blvd,,,Sacramento,95819,+19164515181
41,3675-jun,junos-kitchen-and-delicatessen-sacramento,Juno's Kitchen & Delicatessen,488,"['Delis', 'Sandwiches']","['3675 J St', 'Sacramento, CA 95816']",3675 J St,,,Sacramento,95816,+19164564522
42,4757-hil,hilltop-tavern-sacramento,Hilltop Tavern Bar,163,"['Dive Bars', 'Sports Bars']","['4757 Folsom Blvd', 'Sacramento, CA 95819']",4757 Folsom Blvd,,,Sacramento,95819,+19164562843
43,3700-ste,steve-s-pizza-sacramento,Steve’s Pizza,91,"['Pizza', 'Bars', 'Sandwiches']","['3700 J St', 'Sacramento, CA 95816']",3700 J St,,,Sacramento,95816,+19166038783
44,4801-ori,origami-asian-grill-sacramento,Origami Asian Grill,519,"['Asian Fusion', 'Japanese', 'Korean']","['4801 Folsom Blvd', 'Ste 1', 'Sacramento, CA 95819']",4801 Folsom Blvd,,,Sacramento,95819,+19164003075
45,3669-cal,calzone-life-sacramento,Calzone Life,25,"['Food Delivery Services', 'Pizza', 'Italian']","['3669 J St.', 'Sacramento, CA 95816']",3669 J St.,,,Sacramento,95816,+19167202001
46,3669-piz,pizza-guys-sacramento-14,Pizza Guys,132,"['Pizza', 'Salad']","['3669 J St', 'Sacramento, CA 95816']",3669 J St,,,Sacramento,95816,+19164512222
47,3672-new,new-kathmandu-kitchen-sacramento-2,New Kathmandu Kitchen,95,"['Himalayan/Nepalese', 'Indian']","['3672 J St', 'Sacramento, CA 95816']",3672 J St,,,Sacramento,95816,+19169429796
48,3653-win,wings-restaurant-sacramento-3,Wing's Restaurant,166,['Chinese'],"['3653 J St', 'Sacramento, CA 95816']",3653 J St,,,Sacramento,95816,+19164541925
49,3651-bon,bonn-lair-sacramento,Bonn Lair,326,"['Pubs', 'British', 'Fish & Chips']","['3651 J St', 'Sacramento, CA 95816']",3651 J St,,,Sacramento,95816,+19164557155
50,4818-one,onespeed-sacramento,OneSpeed,1036,"['Italian', 'Pizza', 'Venues & Event Spaces']","['4818 Folsom Blvd', 'Sacramento, CA 95819']",4818 Folsom Blvd,,,Sacramento,95819,+19167061748
51,3649-lat,la-trattoria-bohemia-sacramento,La Trattoria Bohemia,713,"['Italian', 'Czech', 'Pizza']","['3649 J St', 'Sacramento, CA 95816']",3649 J St,,,Sacramento,95816,+19164557803
52,3644-pac,pachamama-coffee-sacramento-2,Pachamama Coffee,259,"['Coffee & Tea', 'Coffee Roasteries', 'Cafes']","['3644 J St', 'Sacramento, CA 95816']",3644 J St,,,Sacramento,95816,+15302047554
53,5101-rou,round-table-pizza-sacramento-3,Round Table Pizza,93,['Pizza'],"['5101 Folsom Blvd', 'Sacramento, CA 95819']",5101 Folsom Blvd,,,Sacramento,95819,+19164575705
54,1510-eas,east-lawn-childrens-park-sacramento,East Lawn Children's Park,5,['Parks'],"['1510 42nd St', 'Sacramento, CA 95819']",1510 42nd St,,,Sacramento,95819,
55,5113-pjs,pjs-diner-fish-and-chips-sacramento,Pjs Diner Fish & Chips,38,['Fish & Chips'],"['5113 Folsom Blvd', 'Sacramento, CA 95819']",5113 Folsom Blvd,,,Sacramento,95819,+19168224151
56,5088-isl,island-tacos-sacramento-2,Island Tacos,104,['Mexican'],"['5088 Folsom Blvd', 'Sacramento, CA 95819']",5088 Folsom Blvd,,,Sacramento,95819,+19165390870
57,3330-mck,mckinley-park-sacramento-3,McKinley Park,3,['Parks'],"['3330 McKinley Blvd', 'Sacramento, CA 95816']",3330 McKinley Blvd,,,Sacramento,95816,+19168085200
58,5201-cer,cerveceria-at-the-shack-sacramento,Cerveceria At The Shack,115,"['Tacos', 'Burgers', 'Cocktail Bars']","['5201 Folsom Blvd', 'Sacramento, CA 95819']",5201 Folsom Blvd,,,Sacramento,95819,+19163464677
59,3440-orp,orphan-breakfast-house-sacramento,Orphan Breakfast House,1722,"['Breakfast & Brunch', 'Sandwiches']","['3440 C St', 'Sacramento, CA 95816']",3440 C St,,,Sacramento,95816,+19164427370
60,5215-all,allora-sacramento,Allora,666,"['Wine Bars', 'Italian', 'Seafood']","['5215 Folsom Blvd', 'Sacramento, CA 95819']",5215 Folsom Blvd,,,Sacramento,95819,+19165386434
61,5100-eas,east-patio-mexicano-sacramento,East Patio Mexicano,121,['Mexican'],"['5100 Folsom Blvd', 'Sacramento, CA 95819']",5100 Folsom Blvd,,,Sacramento,95819,+19166627099
62,5200-soc,socals-tavern-sacramento,Socal's Tavern,158,['Dive Bars'],"['5200 Folsom Blvd', 'Sacramento, CA 95819']",5200 Folsom Blvd,,,Sacramento,95819,+19164551646
63,5090-uni,university-of-beer-east-sacramento-sacramento-2,University of Beer - East Sacramento,115,"['New American', 'Sports Bars']","['5090 Folsom Blvd', 'Sacramento, CA 95819']",5090 Folsom Blvd,,,Sacramento,95819,+19163065577
64,3340-rox,roxie-deli-and-barbeque-east-sac-and-downtown-sacramento,Roxie Deli and Barbeque - East Sac & Downtown,1009,"['Delis', 'Barbeque', 'Caterers']","['3340 C St', 'Sacramento, CA 95816']",3340 C St,,,Sacramento,95816,+19164435402
65,5300-sta,starbucks-sacramento-168,Starbucks,65,['Coffee & Tea'],"['5300 Folsom Blvd', 'Sacramento, CA 95819']",5300 Folsom Blvd,,,Sacramento,95819,+19162169752
66,6000-gor,gordito-burrito-sacramento-3,Gordito Burrito,38,['Mexican'],"['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,+19164570405
67,5525-mcd,mcdonalds-sacramento-7,McDonald's,106,"['Fast Food', 'Burgers', 'Coffee & Tea']","['5525 Folsom Blvd', 'Sacramento, CA 95819']",5525 Folsom Blvd,,,Sacramento,95819,+19164562879
68,6000-rou,round-table-pizza-sacramento-23,Round Table Pizza,41,['Pizza'],"['6000 J St', 'Ste 1106', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,+19162782800
69,6000-pan,panda-express-sacramento-35,Panda Express,31,"['Chinese', 'Fast Food']","['6000 J Street', 'Space #1005C', 'Sacramento, CA 95819']",6000 J Street,,,Sacramento,95819,+19167390612
70,3349-sac,sacramento-turn-verein-sacramento-3,Sacramento Turn Verein,27,"['Landmarks & Historical Buildings', 'Venues & Event Spaces']","['3349 J St', 'Sacramento, CA 95816']",3349 J St,,,Sacramento,95816,+19164427360
71,5415-gle,glenn-hall-park-sacramento,Glenn Hall Park,20,"['Playgrounds', 'Parks']","['5415 Sandburg Dr', 'Sacramento, CA 95819']",5415 Sandburg Dr,,,Sacramento,95819,+19168085200
72,5611-don,donuts-and-coffey-sacramento,Donuts & Coffey,214,"['Bubble Tea', 'Donuts', 'Coffee & Tea']","['5611 Folsom Blvd', 'Sacramento, CA 95819']",5611 Folsom Blvd,,,Sacramento,95819,+19169990232
73,33-mck,mckinley-park-rose-garden-sacramento,McKinley Park Rose Garden,62,"['Parks', 'Venues & Event Spaces']","['Corner 33rd And H St', 'Sacramento, CA 95816']",Corner 33rd And H St,,,Sacramento,95816,+19164528011
74,5625-tac,taco-bell-sacramento-6,Taco Bell,76,"['Mexican', 'Fast Food']","['5625 Folsom Blvd', 'Sacramento, CA 95819']",5625 Folsom Blvd,,,Sacramento,95819,+19164556473
75,6000-sac,sacramento-state-dining-commons-sacramento,Sacramento State Dining Commons,8,"['Buffets', 'Breakfast & Brunch', 'Italian']","['6000 J St', 'Residence Hall Quad', 'Sacramento, CA 95819']",6000 J St,Residence Hall Quad,Residence Hall Quad,Sacramento,95819,+19162787502
76,601-mck,mckinley-park-sacramento-2,McKinley Park,258,"['Parks', 'Playgrounds']","['601 Alhambra Blvd', 'Sacramento, CA 95816']",601 Alhambra Blvd,,,Sacramento,95816,+19164528011
77,6000-riv,river-front-grill-sacramento,River Front Grill,2,"['Coffee & Tea', 'Bagels']","['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,
78,5600-sav,save-mart-sacramento-8,Save Mart,132,"['Grocery', 'Bakeries']","['5600 Folsom Blvd', 'sacramento, CA 95819']",5600 Folsom Blvd,,,sacramento,95819,+19164563862
79,3262-saa,saap-saap-thai-cuisine-sacramento,Saap Saap Thai Cuisine,64,['Thai'],"['3262 J St', 'Sacramento, CA 95816']",3262 J St,,,Sacramento,95816,+19164979121
80,3260-3he,3-hermanas-sacramento-8,3 Hermanas,203,['Mexican'],"['3260 J St', 'Sacramento, CA 95816']",3260 J St,,,Sacramento,95816,+19163829079
81,5723-mat,mattone-ristorante-sacramento,Mattone Ristorante,194,"['Italian', 'Wine Bars', 'Cocktail Bars']","['5723 Folsom Blvd', 'Sacramento, CA 95819']",5723 Folsom Blvd,,,Sacramento,95819,+19167585557
82,5648-bas,baskin-robbins-sacramento-6,Baskin-Robbins,62,"['Ice Cream & Frozen Yogurt', 'Desserts', 'Custom Cakes']","['5648 Folsom Blvd', 'Sacramento, CA 95819']",5648 Folsom Blvd,,,Sacramento,95819,+19164509081
83,5648-tog,togos-sandwiches-sacramento-16,TOGO'S Sandwiches,90,"['Fast Food', 'Sandwiches', 'Delis']","['5648 Folsom Blvd', 'Sacramento, CA 95819']",5648 Folsom Blvd,,,Sacramento,95819,+19164509081
84,5738-chi,chipotle-mexican-grill-sacramento-15,Chipotle Mexican Grill,241,"['Mexican', 'Fast Food']","['5738 Folsom Blvd', 'Sacramento, CA 95819']",5738 Folsom Blvd,,,Sacramento,95819,+19162455062
85,5734-pap,papa-murphys-sacramento-12,Papa Murphy's,54,['Pizza'],"['5734 Folsom Boulevard', 'Sacramento, CA 95819']",5734 Folsom Boulevard,,,Sacramento,95819,+19164520550
86,3246-clu,club-raven-sacramento,Club Raven,124,['Dive Bars'],"['3246 J St', 'Sacramento, CA 95816']",3246 J St,,,Sacramento,95816,+19164478142
87,5801-pan,panda-express-sacramento-21,Panda Express,106,"['Chinese', 'Fast Food']","['5801 Folsom Blvd', 'Sacramento, CA 95819']",5801 Folsom Blvd,,,Sacramento,95819,+19164551009
88,5801-tai,taichi-bubble-tea-sacramento,Taichi Bubble Tea,86,"['Poke', 'Ramen', 'Bubble Tea']","['5801 Folsom Blvd', 'Ste 110', 'Sacramento, CA 95819']",5801 Folsom Blvd,,,Sacramento,95819,+19168983695
89,5801-ang,angry-chickz-sacramento,Angry Chickz,345,"['Chicken Shop', 'Halal']","['5801 Folsom Blvd', 'Ste 130', 'Sacramento, CA 95819']",5801 Folsom Blvd,,,Sacramento,95819,+19162284689
90,601-clu,clunie-community-center-sacramento,Clunie Community Center,9,"['Venues & Event Spaces', 'Parks']","['601 Alhambra Blvd', 'Sacramento, CA 95816']",601 Alhambra Blvd,,,Sacramento,95816,+19164528011
91,5921-yum,yume-gelato-sacramento,Yume Gelato,242,['Gelato'],"['5921 Folsom Blvd', 'Sacramento, CA 95819']",5921 Folsom Blvd,,,Sacramento,95819,+19164004062
92,3230-alh,alhambra-reservoir-sacramento,Alhambra Reservoir,1,['Landmarks & Historical Buildings'],"['3230 J St', 'Sacramento, CA 95816']",3230 J St,,,Sacramento,95816,
93,5810-cor,corti-brothers-sacramento,Corti Brothers,910,"['Grocery', 'Delis', 'Sandwiches']","['5810 Folsom Blvd', 'Sacramento, CA 95819']",5810 Folsom Blvd,,,Sacramento,95819,+19167363800
94,614-arm,armenian-food-festival-greek-hellenic-center-and-hall-sacramento,Armenian Food Festival @ Greek Hellenic Center & Hall,3,"['Festivals', 'Local Flavor', 'Religious Organizations']","['614 Alhambra Blvd', 'Sacramento, CA 95816']",614 Alhambra Blvd,,,Sacramento,95816,
95,4623-col,coloma-park-sacramento,Coloma Park,1,"['Parks', 'Basketball Courts', 'Playgrounds']","['4623 T St', 'Sacramento, CA 95819']",4623 T St,,,Sacramento,95819,
96,1025-sta,starbucks-sacramento-62,Starbucks,26,['Coffee & Tea'],"['1025 Alhambra Blvd', 'Safeway', 'Sacramento, CA 95816']",1025 Alhambra Blvd,Safeway,Safeway,Sacramento,95816,+19164560852
97,6000-baj,baja-fresh-sacramento-2,Baja Fresh,9,"['Mexican', 'Tex-Mex', 'Fast Food']","['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,+19162782252
98,3418-cof,coffee-works-sacramento,Coffee Works,273,"['Coffee & Tea', 'Coffee Roasteries']","['3418 Folsom Blvd', 'Sacramento, CA 95816']",3418 Folsom Blvd,,,Sacramento,95816,+19164521086
99,3301-bri,brickland-sacramento,Brickland,158,['New American'],"['3301 Folsom Blvd', 'Sacramento, CA 95816']",3301 Folsom Blvd,,,Sacramento,95816,+19166038883
100,800-sha,shanghai-garden-sacramento-2,Shanghai Garden,398,['Chinese'],"['800 Alhambra Blvd', 'Sacramento, CA 95816']",800 Alhambra Blvd,,,Sacramento,95816,+19164466358
101,6000-the,the-bagel-place-sacramento-3,The Bagel Place,8,['Bagels'],"['6000 J St', 'Riverfront Center', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,+19162788646
102,6000-tog,togos-sandwiches-sacramento-19,TOGO'S Sandwiches,22,"['Sandwiches', 'Delis', 'Fast Food']","['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,+19162788646
103,3020-tif,tiferet-by-the-park-sacramento,Tiferet by the Park,225,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']","['3020 H St', 'Sacramento, CA 95816']",3020 H St,,,Sacramento,95816,+19167900911
104,6000-sta,starbucks-sacramento-92,Starbucks,37,['Coffee & Tea'],"['6000 J St', 'Riverfront Center', 'Sacramento, CA 95819']",6000 J St,Riverfront Center,Riverfront Center,Sacramento,95819,+19162784456
105,6000-gyr,gyro-2-go-sacramento-2,Gyro 2 Go,91,['Halal'],"['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,+19165628888
106,3269-caf,café-capricho-sacramento-2,Café Capricho,492,"['Mexican', 'Vegan', 'Gluten-Free']","['3269 Folsom Blvd', 'Sacramento, CA 95816']",3269 Folsom Blvd,,,Sacramento,95816,+19164573916
107,3221-che,cheaters-sports-bar-sacramento,Cheaters Sports Bar,94,"['Sports Bars', 'Dive Bars']","['3221 Folsom Blvd', 'Sacramento, CA 95816']",3221 Folsom Blvd,,,Sacramento,95816,+19167360563
108,5211-par,paradise-beach-sacramento,Paradise Beach,37,"['Parks', 'Beaches']","['5211 Carlson Dr', 'Sacramento, CA 95819']",5211 Carlson Dr,,,Sacramento,95819,+19168755656
109,1121-fal,falafel-corner-sacramento-8,Falafel Corner,84,"['Mediterranean', 'Burgers', 'Wraps']","['1121 Alhambra Blvd', 'Sacramento, CA 95816']",1121 Alhambra Blvd,,,Sacramento,95816,+19164763411
110,1105-laf,la-fiesta-alteña-taqueria-sacramento-sacramento-3,La Fiesta Alteña Taqueria - Sacramento,746,['Mexican'],"['1105 Alhambra Blvd', 'Sacramento, CA 95816']",1105 Alhambra Blvd,,,Sacramento,95816,+19169955352
111,1014-lim,limelight-bar-and-cafe-sacramento,Limelight Bar & Cafe,285,"['American', 'Sports Bars']","['1014 Alhambra Blvd', 'Sacramento, CA 95816']",1014 Alhambra Blvd,,,Sacramento,95816,+19164462236
112,3200-mrp,mr-pickles-sandwich-shop-sacramento-3,Mr. Pickle's Sandwich Shop,203,['Sandwiches'],"['3200 Folsom Blvd', 'Ste A', 'Sacramento, CA 95816']",3200 Folsom Blvd,,,Sacramento,95816,+19167314000
113,1221-sok,soku-ramen-bar-sacramento-7,Soku Ramen Bar,270,"['Sandwiches', 'Ramen', 'Noodles']","['1221 Alhambra Blvd', 'Ste 107', 'Sacramento, CA 95816']",1221 Alhambra Blvd,,,Sacramento,95816,+19168826888
114,3027-del,del-taco-sacramento-4,Del Taco,142,"['Mexican', 'Fast Food']","['3027 K St', 'Sacramento, CA 95816']",3027 K St,,,Sacramento,95816,+19164466687
115,1127-jam,jamba-sacramento-35,Jamba,6,"['Juice Bars & Smoothies', 'Sandwiches', 'Acai Bowls']","['1127 Alhambra Blvd', 'Sacramento, CA 95816']",1127 Alhambra Blvd,,,Sacramento,95816,+19167372051
116,1221-sus,sushi-cafe-sacramento-2,Sushi Cafe,630,"['Japanese', 'Sushi Bars']","['1221 Alhambra Blvd', 'Ste 103', 'Sacramento, CA 95816']",1221 Alhambra Blvd,,,Sacramento,95816,+19164516888
117,3135-kru,kru-contemporary-japanese-cuisine-sacramento-3,Kru Contemporary Japanese Cuisine,1473,"['Japanese', 'Sushi Bars']","['3135 Folsom Blvd', 'Sacramento, CA 95816']",3135 Folsom Blvd,,,Sacramento,95816,+19165511559
118,3145-obo,obo-italian-table-and-bar-sacramento-2,OBO' Italian Table & Bar,1007,"['Italian', 'Bars', 'Pizza']","['3145 Folsom Blvd', 'Sacramento, CA 95816']",3145 Folsom Blvd,,,Sacramento,95816,+19168228720
119,3000-the,the-original-mels-sacramento-5,The Original Mels,462,"['Diners', 'Breakfast & Brunch', 'American']","['3000 J St', 'Sacramento, CA 95816']",3000 J St,,,Sacramento,95816,+19164446357
120,3101-jay,jayna-gyro-sacramento-sacramento,Jayna Gyro - Sacramento,342,"['Mediterranean', 'Greek']","['3101 Folsom Blvd', 'Sacramento, CA 95816']",3101 Folsom Blvd,,,Sacramento,95816,+19168982708
121,20-sut,sutters-landing-park-sacramento-3,Sutter's Landing Park,7,['Parks'],"['20 28th St', 'Sacramento, CA 95816']",20 28th St,,,Sacramento,95816,+19168085200
122,1600-int,international-sportsmens-expo-sacramento,International Sportsmen's Expo,9,"['Hiking', 'Outdoor Gear']","['1600 Exposition Blvd', 'Sacramento, CA 95815']",1600 Exposition Blvd,,,Sacramento,95815,
123,3006-mcd,mcdonalds-sacramento-14,McDonald's,186,"['Fast Food', 'Burgers', 'Coffee & Tea']","['3006 K St', 'Sacramento, CA 95816']",3006 K St,,,Sacramento,95816,+19164572251
124,6000-sai,saigon-bay-express-sacramento,Saigon Bay Express,68,['Vietnamese'],"['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,+19162786490
125,509-pin,pine-cove-tavern-sacramento,Pine Cove Tavern,222,['Dive Bars'],"['509 29th St', 'Sacramento, CA 95816']",509 29th St,,,Sacramento,95816,+19164463624
126,1719-can,canon-sacramento-2,Canon,572,"['Cocktail Bars', 'New American', 'Gluten-Free']","['1719 34th St', 'Sacramento, CA 95816']",1719 34th St,,,Sacramento,95816,+19164692433
127,2130-cot,cottage-mart-sacramento,Cottage Mart,52,"['Grocery', 'Indian']","['2130 51st St', 'Sacramento, CA 95817']",2130 51st St,,,Sacramento,95817,+19167396310
128,3030-the,the-habit-burger-grill-sacramento-5,The Habit Burger Grill,46,"['Salad', 'Burgers', 'Sandwiches']","['3030 Capitol Ave.', 'Sacramento, CA 95816']",3030 Capitol Ave.,,,Sacramento,95816,+19166209499
129,1600-cap,capital-beerfest-sacramento,Capital Beerfest,5,['Local Flavor'],"['1600 Exposition Blvd', 'Cal Expo', 'Sacramento, CA 95815']",1600 Exposition Blvd,Cal Expo,Cal Expo,Sacramento,95815,
130,1401-sta,starbucks-sacramento-99,Starbucks,125,['Coffee & Tea'],"['1401 Alhambra Blvd', 'Sacramento, CA 95816']",1401 Alhambra Blvd,,,Sacramento,95816,+19164521707
131,2915-tac,taco-twist-sacramento-3,Taco Twist,2,"['Indian', 'Tacos', 'Fast Food']","['2915 K St', 'Sacramento, CA 95816']",2915 K St,,,Sacramento,95816,+12796001060
