,name,address,health codes,date,url,key
10,WIENERSCHNITZEL #154,"5100 Auburn Blvd  Sacramento, CA 95841-2705","['11', '14b', '21', '27', '33', '40', '45']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=3FAF4205-0611-438C-99AB-B05A873CAC88,5100-wie
11,SAFEWAY #1794,"1850 Prairie City Rd  Folsom, CA 95630-9518",[],"March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=A85EBB7B-FB97-427D-914E-9C8953181A06,1850-saf
12,TONNOS BAR AND GRILL,"312 E Bidwell St  Folsom, CA 95630-3115","['1b', '1c', '27', '34', '35']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=D5225F28-DA7B-4F77-A3BE-ED03A7144D6C,312-ton
13,KINGDOM COFFEE ROASTERS,"305 Iron Point Rd  Folsom, CA 95630-9002",[],"March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=6B4D588C-CA14-461F-9318-2AF6B158BCF9,305-kin
14,JACK IN THE BOX #4367,"10390 Twin Cities Rd  Galt, CA 95632-9043","['29', '47c']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=3ABAC74F-734A-4A6A-B8F0-C19B8A37A3B7,1039-jac
15,TEMPLE COFFEE,"1615 16th St  Sacramento, CA 95814-6006",['30b'],"March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=22AB9794-B977-4A39-9A8C-78764D94B46C,1615-tem
16,ROSS DRESS FOR LESS,"3701 Truxel Rd  Sacramento, CA 95834-3605",['49'],"March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=16BC2126-DC85-4888-9077-3E0C3BC6D66A,3701-ros
17,ST JOHN THE BAPTIST CATHOLIC CHURCH,"307 Montrose Dr  Folsom, CA 95630-2719","['14b', '34', '35', '38']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=E9C3A80B-6544-44B3-AC15-DE7005FA8157,307-st 
18,HALAL FRIED CHICKEN,"3654 N Freeway Blvd  Sacramento, CA 95834-2925","['1b', '4', '27', '34', '36', '38', '42']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=2DE9A2E0-3B12-4D83-8424-A0597BF81BE6,3654-hal
19,I LOVE TERIYAKI,"3643 Bradshaw Rd # 4L  Sacramento, CA 95827-3253","['5a', '14a']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=D6F04684-4487-4EF9-A1FE-A734611C7BAA,3643-i l
20,KOSHI RAMEN,"3581 Truxel Rd Ste 2  Sacramento, CA 95834-3603","['33', '36', '44e', '47a']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=76A94B47-5DA1-4E99-8482-5D60AD074A9E,3581-kos
21,SAYED SWEETS AND BAKERY LLC,"3704 Auburn Blvd  Sacramento, CA 95821-2101","['1a', '4', '5a', '6', '7', '25', '31', '32a', '34', '36', '38', '39', '44d']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=2EBE52E0-1E46-4C14-8013-9536E4960766,3704-say
22,CARL'S JR RESTAURANT #8745,"7570 Sunrise Blvd  Citrus Heights, CA 95610-3001",[],"March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=E1BEE694-D0CF-4A8F-881F-B56AA92E2FCC,7570-car
23,SHERATON GRAND SACRAMENTO,"1230 J St  Sacramento, CA 95814-2907","['4', '9', '18', '23', '35', '41']","March 15, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=E5791321-4126-4CF3-AE4A-E78A53D708CC,1230-she
24,RANGOON,"7601 Sunrise Blvd Ste 1  Citrus Heights, CA 95610-2373",[],"March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=022F6508-E41A-4822-A50A-61D0A65F44C7,7601-ran
25,SMOKEY OAKS TAVERN,"9634 Fair Oaks Blvd  Fair Oaks, CA 95628-6909","['23', '44e']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=15E89191-2D97-4BAB-A2C1-89025C2A85D7,9634-smo
26,MERCANTILE SALOON,"1928 L St  Sacramento, CA 95811-4188","['23', '45']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=47446709-5D41-4E24-AF17-52BEF4826BEB,1928-mer
27,ORIGINAL PIZZA HOUSE,"6300 Garfield Ave Ste 130  Sacramento, CA 95841-5402","['30a', '36', '44a', '44d']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=17658D03-4852-4017-A1AE-72966A8B0B31,6300-ori
28,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318",[],"March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=63E246F4-4592-48E7-A5B5-297049545188,547-gol
29,TABLEVINE,"1501 14th St  Sacramento, CA 95814-5964","['7', '27', '36']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=C319CBC2-E331-4930-9F18-4EC3EC50596E,1501-tab
30,NEKTAR JUICE BAR,"5442 Hazel Ave Ste 502  Fair Oaks, CA 95628-3970","['1c', '49']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=DCE63D33-3B97-4A82-8341-08B18D57888C,5442-nek
31,SAN JUAN HIGH SCHOOL,"7551 Greenback Ln  Citrus Heights, CA 95610",[],"March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=21B873F5-C654-4221-8785-88E85CE5062B,7551-san
32,WINCO FOODS #53,"200 Blue Ravine Rd  Folsom, CA 95630-4748","['7', '41']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=BE809BB9-F38D-45E3-AFA5-87D8A2CB0D6A,200-win
33,PETE'S RESTAURANT & BREWHOUSE,"2100 Arden Way # 123  Sacramento, CA 95825-2216","['1b', '7', '14b', '23', '29', '36', '40', '44c', '44d']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1ADDC39A-6473-4114-9CBD-2FAA23B69FBD,2100-pet
34,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318",[],"March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=5AEE31A5-0EC9-4B09-905A-97896B401A5F,547-gol
35,GARFIELD ELEMENTARY SCHOOL #118,"3700 Garfield Ave  Carmichael, CA 95608-3042","['5a', '6', '39', '44e', '49']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=2275C5C2-29AE-4A7D-AFBC-570DD59C3F05,3700-gar
36,WINCO FOODS,"2300 Watt Ave  Sacramento, CA 95825-0621","['6', '7', '21', '33', '35', '36', '41', '43']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=AACA9E2A-ADC7-4567-BE89-034857B45D69,2300-win
37,RED HOT CHILI PEPPER FOLSOM,"2791 E Bidwell St Ste 100  Folsom, CA 95630-6410","['1b', '14a']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=B1D3E8DF-3225-4571-87CC-C52CE07E1647,2791-red
38,"7-ELEVEN, INC.","7598 Greenback Ln  Citrus Heights, CA 95610-5658","['7', '39']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=89A5E453-19C2-4FD9-95CE-2E7BB1B4A5EB,7598-7-e
39,HOT STONE PIZZA,"5222 Hillsdale Blvd Ste 3  Sacramento, CA 95842-3500","['1a', '1b', '4', '6', '7', '23', '27', '29', '30a', '33', '34', '35', '36', '39', '40', '42', '43', '44d', '45', '47c']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=D25893B2-F43E-46DE-8E91-212BC141723D,5222-hot
40,FACES,"2000 K St  Sacramento, CA 95811-4217","['13', '14b', '33']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=AC0CDD95-7D8D-4D08-BCE9-1DBF70486F42,2000-fac
41,RED HOT CHILI PEPPER FOLSOM,"2791 E Bidwell St Ste 100  Folsom, CA 95630-6410","['1b', '14a']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=B1D3E8DF-3225-4571-87CC-C52CE07E1647,2791-red
42,"7-ELEVEN, INC.","7598 Greenback Ln  Citrus Heights, CA 95610-5658","['7', '39']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=89A5E453-19C2-4FD9-95CE-2E7BB1B4A5EB,7598-7-e
43,CARL'S JR #624,"1065 C St  Galt, CA 95632-1700",[],"March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=6E3DAC2A-882A-4B94-887F-F223D9FFFB92,1065-car
44,MERCANTILE SALOON,"1928 L St  Sacramento, CA 95811-4188","['23', '45']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=47446709-5D41-4E24-AF17-52BEF4826BEB,1928-mer
45,RAW SUSHI BAR LOUNGE,"8280 Elk Grove Blvd  Elk Grove, CA 95758","['1c', '6', '7', '17', '27', '34', '39', '41', '49']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1C46F7A6-22E3-4D38-8673-6FC825375DD6,8280-raw
46,NEKTAR JUICE BAR,"5442 Hazel Ave Ste 502  Fair Oaks, CA 95628-3970","['1c', '49']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=DCE63D33-3B97-4A82-8341-08B18D57888C,5442-nek
47,SAN JUAN HIGH SCHOOL,"7551 Greenback Ln  Citrus Heights, CA 95610-5614","['1b', '6', '14b', '21']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=7EA15320-A315-4043-8276-A73AB22863D1,7551-san
48,SUNRISE PALACE EVENT CENTER,"11167 Trade Center Dr  Rancho Cordova, CA 95670-6144","['6', '14b', '30a', '30b', '33', '35', '43', '44c', '44e']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=9E9C567A-2F0D-485C-8401-C914911FEF3E,1116-sun
49,AT THAI KITCHEN,"711 E Bidwell St Ste 5  Folsom, CA 95630-3332","['1c', '40']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=4887944B-1149-4320-8457-C5D229D50CB8,711-at 
50,WINCO FOODS,"2300 Watt Ave  Sacramento, CA 95825-0621","['14b', '21', '40', '41']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=B38BBD77-D41E-4A73-8413-0108CBDF926D,2300-win
51,EL POLLO LOCO,"7600 Greenback Ln  Citrus Heights, CA 95610-6615","['7', '39', '42']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=5999CA67-4F79-48CA-8608-85469B6F1B94,7600-el 
52,HOT BUNZ BURGER JOINT,"3084 Sunrise Blvd Ste 12  Rancho Cordova, CA 95742-6553","['1c', '4', '27', '33', '34', '38', '44e']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=257596A4-C806-4BE4-A6D5-3B61F9056688,3084-hot
53,MIMI'S CAFE FOLSOM,"2719 E Bidwell St  Folsom, CA 95630-6405","['1c', '11', '33', '45', '49']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=B749ACF4-2BE0-4417-BA93-471DEB16B9BF,2719-mim
54,TAKIENG THAI CUISINE,"4400 San Juan Ave # 8-10  Fair Oaks, CA 95628-6746",['8'],"March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=489FE4F5-9D40-4EA0-9733-EE93310C7BE9,4400-tak
55,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318",['21'],"March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=DD9C39AA-C607-45CF-B5AA-C2855E551EE2,547-gol
56,MANDERES,"1004 E Bidwell St Ste 600  Folsom, CA 95630-5567","['1c', '14a', '27', '33', '36', '38', '45']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=F8FA7E00-C5F5-4A2D-940A-41ED323CCFE1,1004-man
57,BIG APPLE BAGELS,"711 E Bidwell St Ste 9 Folsom, CA 95630-3332","['34', '39', '47a']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=FD7659F1-BA07-46AE-9766-5DFE67823702,711-big
58,CALIFORNIA MONTESSORI PROJECT,"5330 Gibbons Dr Ste A  Carmichael, CA 95608-1671","['6', '30a', '34', '35', '43']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=4BC9D49F-0F97-4FF2-BC1A-8322CEA78F47,5330-cal
59,WINCO FOODS,"2300 Watt Ave  Sacramento, CA 95825-0621","['33', '35', '36']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=38C94398-1B4E-49B3-A3C1-5D7721A7760F,2300-win
60,WINCO FOODS,"2300 Watt Ave  Sacramento, CA 95825-0621","['33', '35', '36']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=38C94398-1B4E-49B3-A3C1-5D7721A7760F,2300-win
61,HAPPY GARDEN CHINESE RESTAURANT,"9010 Grant Line Rd  Elk Grove, CA 95624-9416",[],"March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=5A8DF515-9DE3-42E3-B919-85486D4B46B8,9010-hap
62,ROUND TABLE PIZZA #4,"4949 Marconi Ave Ste C  Carmichael, CA 95608-6820","['13', '14a', '33', '38', '43']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=B5BB516B-3AB2-4A66-AE17-6D621A1FF956,4949-rou
63,LAUREL RUFF CENTER ELEM SCHOOL,"5325 Garfield Ave  Sacramento, CA 95841-3103","['38', '44d']","March 14, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=B313D601-4C6D-492C-A6FE-9E9EE355EC7E,5325-lau
64,COSTCO WHOLESALE #464,"7981 E Stockton Blvd  Sacramento, CA 95823-9606","['21', '23', '36', '41']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=7F8BF570-4214-4934-8D7B-E81F8FB4C5CF,7981-cos
65,BUFFALO WILD WINGS,"3600 N Freeway Blvd Unit 100  Sacramento, CA 95834-2904","['14a', '14b', '33', '34', '42']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=3861ABB9-C107-4D8B-B857-A49D4B4C6EC1,3600-buf
66,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['6', '8', '36']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=042B382C-FAF8-4F42-B60B-A68A3A85EC28,547-gol
67,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['7', '35']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=EC3DD3F4-6236-4612-A79C-FB5F858EF1F5,547-gol
68,CANTEEN  @ COSTCO  BREAKROOM,"7981 E Stockton Blvd  Sacramento, CA 95823-9606",['49'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=19117799-5E63-49DE-935D-ECB297CCC842,7981-can
69,FLAME CLUB,"2130 16th St  Sacramento, CA 95818-1509","['14a', '27', '33', '38']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1472FCBF-2020-42F0-B0B5-6BE1D755DE5E,2130-fla
70,7-ELEVEN 2235-23226 B,"3405 Bradshaw Rd  Sacramento, CA 95827-3327","['1b', '4', '6', '33', '39', '43', '44e', '45']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=DCC8003C-012D-45A8-A5ED-511E7C1A3B14,3405-7-e
71,TACO BELL #041344,"3411 Bradshaw Rd  Sacramento, CA 95827-3327","['33', '45']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=B341C5C2-866B-4DA4-94AE-8678E3E674BA,3411-tac
72,CITRUS HEIGHTS GROCERY OUTLET,"6059 Greenback Ln  Citrus Heights, CA 95621-4740",[],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=6C8F5E34-2DF5-4FA8-AA2B-B422DA885A9E,6059-cit
73,DELTA QUEEN LODGE,"32 Main St  Isleton, CA 95641-7037","['1b', '1c', '23', '35', '40', '41', '43']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=D251EADD-C067-46D9-9BAB-79651B56B4BE,32-del
74,BIG WAVE COFFEE HOUSE,"189 Blue Ravine Rd Ste 130  Folsom, CA 95630-4505",[],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=E6F8CA37-B5DC-4D0B-8017-791C1E640F8E,189-big
75,PIZZA BOYZ,"7829 Sunrise Blvd  Citrus Heights, CA 95610-1597","['1b', '6', '30b', '33', '34', '36', '38']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=7E196B34-CD00-4220-8731-05D757CA7A20,7829-piz
76,WALGREENS #09048,"2595 E Bidwell St  Folsom, CA 95630-6439",['33'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1856D5CF-C39B-433E-A77A-92C05C3EAE95,2595-wal
77,GOLDEN VALLEY RIVER SCHOOL,"9601 Lake Natoma Dr  Orangevale, CA 95662-5022",[],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=BE415777-20DE-4E1D-ABE3-E3DC4D4238D6,9601-gol
78,STARBUCKS COFFEE #9341,"8888 Madison Ave Ste B  Fair Oaks, CA 95628-3967",['7'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=232D0E91-1649-4EBB-BC84-AAB85FC353C8,8888-sta
79,NATION'S GIANT HAMBURGERS NO. 31,"3530 Truxel Rd  Sacramento, CA 95834-3621",['49'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=460F7242-3407-429B-80CC-D629A8C5D954,3530-nat
80,FASTRIP #895,"8061 Florin Rd  Sacramento, CA 95828-3140","['7', '14a', '27', '35', '36', '39', '41', '44e']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=CD0EF8EE-DD87-4432-AEDC-75A51043BE4F,8061-fas
81,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['33', '41', '44d']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=73628AC4-F197-445C-AAE7-2477E399D41E,547-gol
82,STARBUCKS COFFEE #9341,"8888 Madison Ave Ste B  Fair Oaks, CA 95628-3967",['7'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=232D0E91-1649-4EBB-BC84-AAB85FC353C8,8888-sta
83,NATION'S GIANT HAMBURGERS NO. 31,"3530 Truxel Rd  Sacramento, CA 95834-3621",['49'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=460F7242-3407-429B-80CC-D629A8C5D954,3530-nat
84,RELIANCE SUPERMART,"297 Iron Point Rd  Folsom, CA 95630-9001","['35', '44e']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=07C49A32-F5E7-41C3-B41E-614C937CA684,297-rel
85,FOLSOM TAP HOUSE,"25005 Blue Ravine Rd Ste 140  Folsom, CA 95630-5706","['1b', '1c', '6', '7', '14a', '27', '36', '38', '40', '42']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=CF14C919-8824-424C-B4CF-6AAF836D6258,2500-fol
86,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['4', '6', '14a']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=598BB0E5-FE9E-4B2A-8083-4C5BFC0A3847,547-gol
87,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318",['35'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=FB5ACAC9-CA27-4B91-9C08-111FA1AD001C,547-gol
88,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['27', '36']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=84FD4A04-2810-4D87-BFDD-B4E814E69AAE,547-gol
89,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['6', '27']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=7379F225-6D34-4243-82E4-B880FC008FAB,547-gol
90,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318",['27'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=4ACAC32C-9C58-40C2-BD70-BB927649E8DA,547-gol
91,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318",[],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=072812D4-3E1C-40E5-848B-DA235D075C37,547-gol
92,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318",['44d'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=05BB494F-0A44-4AE4-BD42-CB0A76F60101,547-gol
93,FLAME CLUB,"2130 16th St  Sacramento, CA 95818-1509","['14a', '27', '33', '38']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1472FCBF-2020-42F0-B0B5-6BE1D755DE5E,2130-fla
94,TIPSY COW,"330 S Lincoln Way Ste 10  Galt, CA 95632-2067","['29', '36', '43']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=612682C6-C072-4B22-BB31-7B0CDEFA5D2D,330-tip
95,ROCK HARD BURGERS AND BREW,"7032 Sylvan Rd  Citrus Heights, CA 95610-3829","['1b', '1c', '6', '7', '14a', '27', '36', '38', '40', '42']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=C112F5E1-5FBC-46F4-9DA4-40292EF12264,7032-roc
96,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['7', '33', '41']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=932064C6-A411-4BD8-9FA6-737F5FAA9BD3,547-gol
97,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318",['27'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1ACB3E45-3AA7-438A-97E6-C2DCE3843610,547-gol
98,BREWSTER'S BAR & GRILL,"201 4th St  Galt, CA 95632-1955","['6', '33', '44c']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=0B5775ED-D8A2-4797-9BFB-935387FBA952,201-bre
99,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['7', '13', '27', '30b']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=472C2D47-D0CC-4689-A20B-18C796B36990,547-gol
100,BREWSTER'S BAR & GRILL,"201 4th St  Galt, CA 95632-1955","['6', '33', '44c']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=0B5775ED-D8A2-4797-9BFB-935387FBA952,201-bre
101,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['6', '27']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=7379F225-6D34-4243-82E4-B880FC008FAB,547-gol
102,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318",['41'],"March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=4F093BD4-0EF7-44E0-8EF6-02FE3C7EBEAE,547-gol
103,GOLDEN 1 CENTER,"547 L St  Sacramento, CA 95814-3318","['33', '41', '44d']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=73628AC4-F197-445C-AAE7-2477E399D41E,547-gol
104,TONY BALONEY'S #3,"5059 College Oak Dr  Sacramento, CA 95841-4607","['1c', '4', '7', '14a', '30a', '33', '41', '43', '44d', '45', '49']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=ADD3D810-04A1-4290-B742-4D4A7D245A8D,5059-ton
105,FLAME CLUB,"2130 16th St  Sacramento, CA 95818-1509","['14a', '27', '33', '38']","March 13, 2024",https://inspections.myhealthdepartment.com/sacramento/inspection/?inspectionID=1472FCBF-2020-42F0-B0B5-6BE1D755DE5E,2130-fla
