,key,alias,name,rating,price,review_count,categories,lat,lon,display_address,addy_one,addy_two,addy_three,city,zip_code,phone
31,5644-cha,chando-s-tacos-sacramento,Chando’s Tacos,3.0,$$,106,['Mexican'],38.56409862186438,-121.4340171158013,"['5644 J St', 'Sacramento, CA 95819']",5644 J St,,,Sacramento,95819,19164766312.0
32,3712-jst,j-street-liquor-sacramento,J Street Liquor,4.5,$$,10,"['Beer, Wine & Spirits']",38.5703191,-121.4565914,"['3712 J St', 'Sacramento, CA 95816']",3712 J St,,,Sacramento,95816,19167363464.0
33,3710-sta,stanelys-donuts-sacramento,Stanely's Donuts,4.6,$,179,['Donuts'],38.57016,-121.45665,"['3710 J St', 'Sacramento, CA 95816']",3710 J St,,,Sacramento,95816,19164543922.0
34,4749-cho,chocolate-fish-coffee-roasters-sacramento,Chocolate Fish Coffee Roasters,4.2,$$,469,"['Coffee & Tea', 'Coffee Roasteries']",38.56186,-121.446298,"['4749 Folsom Blvd', 'Sacramento, CA 95819']",4749 Folsom Blvd,,,Sacramento,95819,19164515181.0
35,3675-jun,junos-kitchen-and-delicatessen-sacramento,Juno's Kitchen & Delicatessen,4.5,$$,488,"['Delis', 'Sandwiches']",38.5707359,-121.4570847,"['3675 J St', 'Sacramento, CA 95816']",3675 J St,,,Sacramento,95816,19164564522.0
36,3700-ste,steve-s-pizza-sacramento,Steve’s Pizza,4.2,$$,91,"['Pizza', 'Bars', 'Sandwiches']",38.57034,-121.456825,"['3700 J St', 'Sacramento, CA 95816']",3700 J St,,,Sacramento,95816,19166038783.0
37,5039-cvs,cvs-pharmacy-sacramento-9,CVS Pharmacy,2.4,$$,88,"['Drugstores', 'Pharmacy', 'Convenience Stores']",38.561495,-121.444504,"['5039 Folsom Blvd', 'Sacramento, CA 95819']",5039 Folsom Blvd,,,Sacramento,95819,19167390740.0
38,4801-vmi,v-miller-meats-sacramento,V. Miller Meats,4.6,$$,166,"['Butcher', 'Meat Shops']",38.56171,-121.44581,"['4801 Folsom Blvd', 'Ste 2', 'Sacramento, CA 95819']",4801 Folsom Blvd,,,Sacramento,95819,19164004127.0
39,4801-ori,origami-asian-grill-sacramento,Origami Asian Grill,4.4,$$,519,"['Asian Fusion', 'Japanese', 'Korean']",38.561676,-121.445902,"['4801 Folsom Blvd', 'Ste 1', 'Sacramento, CA 95819']",4801 Folsom Blvd,,,Sacramento,95819,19164003075.0
40,3669-piz,pizza-guys-sacramento-14,Pizza Guys,3.3,$$,132,"['Pizza', 'Salad']",38.570808,-121.457124,"['3669 J St', 'Sacramento, CA 95816']",3669 J St,,,Sacramento,95816,19164512222.0
41,3672-new,new-kathmandu-kitchen-sacramento-2,New Kathmandu Kitchen,4.5,$$,95,"['Himalayan/Nepalese', 'Indian']",38.5704,-121.45722,"['3672 J St', 'Sacramento, CA 95816']",3672 J St,,,Sacramento,95816,19169429796.0
42,3653-win,wings-restaurant-sacramento-3,Wing's Restaurant,4.2,$$,166,['Chinese'],38.5708249,-121.4574367,"['3653 J St', 'Sacramento, CA 95816']",3653 J St,,,Sacramento,95816,19164541925.0
43,4818-one,onespeed-sacramento,OneSpeed,4.0,$$,1037,"['Italian', 'Pizza', 'Venues & Event Spaces']",38.561438,-121.4461629,"['4818 Folsom Blvd', 'Sacramento, CA 95819']",4818 Folsom Blvd,,,Sacramento,95819,19167061748.0
44,3651-bon,bonn-lair-sacramento,Bonn Lair,4.0,$$,326,"['Pubs', 'British', 'Fish & Chips']",38.5708249,-121.4574433,"['3651 J St', 'Sacramento, CA 95816']",3651 J St,,,Sacramento,95816,19164557155.0
45,3649-lat,la-trattoria-bohemia-sacramento,La Trattoria Bohemia,4.3,$$,714,"['Italian', 'Czech', 'Pizza']",38.570968,-121.457487,"['3649 J St', 'Sacramento, CA 95816']",3649 J St,,,Sacramento,95816,19164557803.0
46,3644-pac,pachamama-coffee-sacramento-2,Pachamama Coffee,4.4,$,259,"['Coffee & Tea', 'Coffee Roasteries', 'Cafes']",38.5704854,-121.4574538,"['3644 J St', 'Sacramento, CA 95816']",3644 J St,,,Sacramento,95816,15302047554.0
47,5101-rou,round-table-pizza-sacramento-3,Round Table Pizza,2.6,$$,93,['Pizza'],38.560877,-121.443431,"['5101 Folsom Blvd', 'Sacramento, CA 95819']",5101 Folsom Blvd,,,Sacramento,95819,19164575705.0
48,5121-mrb,mr-bs-liquor-and-deli-sacramento,Mr B's Liquor & Deli,2.7,$,20,"['Beer, Wine & Spirits']",38.5605611,-121.4431592,"['5121 Folsom Blvd', 'Sacramento, CA 95819']",5121 Folsom Blvd,,,Sacramento,95819,
49,5088-isl,island-tacos-sacramento-2,Island Tacos,3.5,$,104,['Mexican'],38.5605238,-121.4437158,"['5088 Folsom Blvd', 'Sacramento, CA 95819']",5088 Folsom Blvd,,,Sacramento,95819,19165390870.0
50,3440-orp,orphan-breakfast-house-sacramento,Orphan Breakfast House,3.9,$$,1722,"['Breakfast & Brunch', 'Sandwiches']",38.57877,-121.45646,"['3440 C St', 'Sacramento, CA 95816']",3440 C St,,,Sacramento,95816,19164427370.0
51,5215-all,allora-sacramento,Allora,4.4,$$$$,666,"['Wine Bars', 'Italian', 'Seafood']",38.56034190396452,-121.44237167267804,"['5215 Folsom Blvd', 'Sacramento, CA 95819']",5215 Folsom Blvd,,,Sacramento,95819,19165386434.0
52,5000-tra,trader-joes-sacramento,Trader Joe's,4.0,$$,415,['Grocery'],38.560398,-121.444806,"['5000 Folsom Blvd', 'Sacramento, CA 95819']",5000 Folsom Blvd,,,Sacramento,95819,19164561853.0
53,5100-eas,east-patio-mexicano-sacramento,East Patio Mexicano,4.1,$$,121,['Mexican'],38.56015,-121.4435,"['5100 Folsom Blvd', 'Sacramento, CA 95819']",5100 Folsom Blvd,,,Sacramento,95819,19166627099.0
54,3340-rox,roxie-deli-and-barbeque-east-sac-and-downtown-sacramento,Roxie Deli and Barbeque - East Sac & Downtown,4.2,$$,1011,"['Delis', 'Barbeque', 'Caterers']",38.579207,-121.457288,"['3340 C St', 'Sacramento, CA 95816']",3340 C St,,,Sacramento,95816,19164435402.0
55,5300-sta,starbucks-sacramento-168,Starbucks,3.5,$$,65,['Coffee & Tea'],38.5592689,-121.4411762,"['5300 Folsom Blvd', 'Sacramento, CA 95819']",5300 Folsom Blvd,,,Sacramento,95819,19162169752.0
56,6000-gor,gordito-burrito-sacramento-3,Gordito Burrito,2.5,$,38,['Mexican'],38.5668924267684,-121.426536530689,"['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,19164570405.0
57,5525-mcd,mcdonalds-sacramento-7,McDonald's,1.9,$,106,"['Fast Food', 'Burgers', 'Coffee & Tea']",38.5590199,-121.43833,"['5525 Folsom Blvd', 'Sacramento, CA 95819']",5525 Folsom Blvd,,,Sacramento,95819,19164562879.0
58,6000-pan,panda-express-sacramento-35,Panda Express,3.1,$,31,"['Chinese', 'Fast Food']",38.56124,-121.42446,"['6000 J Street', 'Space #1005C', 'Sacramento, CA 95819']",6000 J Street,,,Sacramento,95819,19167390612.0
59,6000-jam,jamba-sacramento-2,Jamba,3.5,$,37,['Juice Bars & Smoothies'],38.56124,-121.42446,"['6000 J St', 'Student Union', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,19162784403.0
60,6000-rou,round-table-pizza-sacramento-23,Round Table Pizza,2.2,$,41,['Pizza'],38.56124,-121.42446,"['6000 J St', 'Ste 1106', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,19162782800.0
61,5611-don,donuts-and-coffey-sacramento,Donuts & Coffey,4.5,$$,214,"['Bubble Tea', 'Donuts', 'Coffee & Tea']",38.5585198,-121.4377781,"['5611 Folsom Blvd', 'Sacramento, CA 95819']",5611 Folsom Blvd,,,Sacramento,95819,19169990232.0
62,5625-tac,taco-bell-sacramento-6,Taco Bell,2.8,$,76,"['Mexican', 'Fast Food']",38.558192,-121.43795,"['5625 Folsom Blvd', 'Sacramento, CA 95819']",5625 Folsom Blvd,,,Sacramento,95819,19164556473.0
63,6000-riv,river-front-grill-sacramento,River Front Grill,2.0,$$,2,"['Coffee & Tea', 'Bagels']",38.567051589489,-121.427509412169,"['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,
64,5600-sav,save-mart-sacramento-8,Save Mart,3.1,$$,132,"['Grocery', 'Bakeries']",38.5576103,-121.4387434,"['5600 Folsom Blvd', 'Sacramento, CA 95819']",5600 Folsom Blvd,,,Sacramento,95819,19164563862.0
65,3260-3he,3-hermanas-sacramento-8,3 Hermanas,4.1,$$,203,['Mexican'],38.571968,-121.4627653,"['3260 J St', 'Sacramento, CA 95816']",3260 J St,,,Sacramento,95816,19163829079.0
66,5648-tog,togos-sandwiches-sacramento-16,TOGO'S Sandwiches,2.6,$,90,"['Fast Food', 'Sandwiches', 'Delis']",38.55747,-121.43778,"['5648 Folsom Blvd', 'Sacramento, CA 95819']",5648 Folsom Blvd,,,Sacramento,95819,19164509081.0
67,5648-bas,baskin-robbins-sacramento-6,Baskin-Robbins,2.9,$,62,"['Ice Cream & Frozen Yogurt', 'Desserts', 'Custom Cakes']",38.55814,-121.43771,"['5648 Folsom Blvd', 'Sacramento, CA 95819']",5648 Folsom Blvd,,,Sacramento,95819,19164509081.0
68,5738-chi,chipotle-mexican-grill-sacramento-15,Chipotle Mexican Grill,2.2,$$,241,"['Mexican', 'Fast Food']",38.557712,-121.4366786,"['5738 Folsom Blvd', 'Sacramento, CA 95819']",5738 Folsom Blvd,,,Sacramento,95819,19162455062.0
69,5734-pap,papa-murphys-sacramento-12,Papa Murphy's,3.3,$,54,['Pizza'],38.5576729881787,-121.436714023977,"['5734 Folsom Boulevard', 'Sacramento, CA 95819']",5734 Folsom Boulevard,,,Sacramento,95819,19164520550.0
70,5801-pan,panda-express-sacramento-21,Panda Express,2.2,$,106,"['Chinese', 'Fast Food']",38.557823506239,-121.435817317867,"['5801 Folsom Blvd', 'Sacramento, CA 95819']",5801 Folsom Blvd,,,Sacramento,95819,19164551009.0
71,5801-tai,taichi-bubble-tea-sacramento,Taichi Bubble Tea,3.8,$$,86,"['Poke', 'Ramen', 'Bubble Tea']",38.55780778716408,-121.4357525,"['5801 Folsom Blvd', 'Ste 110', 'Sacramento, CA 95819']",5801 Folsom Blvd,,,Sacramento,95819,19168983695.0
72,5801-ang,angry-chickz-sacramento,Angry Chickz,4.0,$$,346,"['Chicken Shop', 'Halal']",38.557842,-121.435752,"['5801 Folsom Blvd', 'Ste 130', 'Sacramento, CA 95819']",5801 Folsom Blvd,,,Sacramento,95819,19162284689.0
73,5921-yum,yume-gelato-sacramento,Yume Gelato,4.8,$$,242,['Gelato'],38.55753726503506,-121.4350602722686,"['5921 Folsom Blvd', 'Sacramento, CA 95819']",5921 Folsom Blvd,,,Sacramento,95819,19164004062.0
74,5810-cor,corti-brothers-sacramento,Corti Brothers,4.4,$$,910,"['Grocery', 'Delis', 'Sandwiches']",38.55713,-121.43623,"['5810 Folsom Blvd', 'Sacramento, CA 95819']",5810 Folsom Blvd,,,Sacramento,95819,19167363800.0
75,1025-saf,safeway-sacramento-11,Safeway,2.2,$$,292,['Grocery'],38.57163581292695,-121.46461501719666,"['1025 Alhambra Blvd', 'Sacramento, CA 95816']",1025 Alhambra Blvd,,,Sacramento,95816,19164560852.0
76,1025-sta,starbucks-sacramento-62,Starbucks,2.0,$$,26,['Coffee & Tea'],38.571577,-121.464738,"['1025 Alhambra Blvd', 'Safeway', 'Sacramento, CA 95816']",1025 Alhambra Blvd,Safeway,Safeway,Sacramento,95816,19164560852.0
77,3440-sto,stop-and-shop-sacramento,Stop & Shop,3.1,$,20,"['Grocery', 'Convenience Stores', 'Beer, Wine & Spirits']",38.5664693,-121.4630665,"['3440 Folsom Blvd', 'Sacramento, CA 95816']",3440 Folsom Blvd,,,Sacramento,95816,19167391045.0
78,3418-cof,coffee-works-sacramento,Coffee Works,4.4,$$,273,"['Coffee & Tea', 'Coffee Roasteries']",38.5666014,-121.4634348,"['3418 Folsom Blvd', 'Sacramento, CA 95816']",3418 Folsom Blvd,,,Sacramento,95816,19164521086.0
79,800-sha,shanghai-garden-sacramento-2,Shanghai Garden,3.1,$$,398,['Chinese'],38.5747799,-121.46481,"['800 Alhambra Blvd', 'Sacramento, CA 95816']",800 Alhambra Blvd,,,Sacramento,95816,19164466358.0
80,6000-tog,togos-sandwiches-sacramento-19,TOGO'S Sandwiches,3.2,$,22,"['Sandwiches', 'Delis', 'Fast Food']",38.563597781313554,-121.42390331686651,"['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,19162788646.0
81,3020-tif,tiferet-by-the-park-sacramento,Tiferet by the Park,4.7,$,225,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",38.57497,-121.46495,"['3020 H St', 'Sacramento, CA 95816']",3020 H St,,,Sacramento,95816,19167900911.0
82,6000-sta,starbucks-sacramento-92,Starbucks,2.0,$$,37,['Coffee & Tea'],38.5635711632971,-121.42387077934576,"['6000 J St', 'Riverfront Center', 'Sacramento, CA 95819']",6000 J St,Riverfront Center,Riverfront Center,Sacramento,95819,19162784456.0
83,6000-gyr,gyro-2-go-sacramento-2,Gyro 2 Go,4.3,$,91,['Halal'],38.5632999153479,-121.424036603427,"['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,19165628888.0
84,3269-caf,café-capricho-sacramento-2,Café Capricho,3.7,$$,492,"['Mexican', 'Vegan', 'Gluten-Free']",38.5676762,-121.4643834,"['3269 Folsom Blvd', 'Sacramento, CA 95816']",3269 Folsom Blvd,,,Sacramento,95816,19164573916.0
85,1105-laf,la-fiesta-alteña-taqueria-sacramento-sacramento-3,La Fiesta Alteña Taqueria - Sacramento,3.7,$$,747,['Mexican'],38.57121,-121.4655,"['1105 Alhambra Blvd', 'Sacramento, CA 95816']",1105 Alhambra Blvd,,,Sacramento,95816,19169955352.0
86,1014-lim,limelight-bar-and-cafe-sacramento,Limelight Bar & Cafe,3.8,$$,285,"['American', 'Sports Bars']",38.5721397,-121.4656906,"['1014 Alhambra Blvd', 'Sacramento, CA 95816']",1014 Alhambra Blvd,,,Sacramento,95816,19164462236.0
87,3200-mrp,mr-pickles-sandwich-shop-sacramento-3,Mr. Pickle's Sandwich Shop,3.7,$$,203,['Sandwiches'],38.5676536560059,-121.464881896973,"['3200 Folsom Blvd', 'Ste A', 'Sacramento, CA 95816']",3200 Folsom Blvd,,,Sacramento,95816,19167314000.0
88,1221-sok,soku-ramen-bar-sacramento-7,Soku Ramen Bar,4.3,$$,270,"['Sandwiches', 'Ramen', 'Noodles']",38.5696633504949,-121.46550307825576,"['1221 Alhambra Blvd', 'Ste 107', 'Sacramento, CA 95816']",1221 Alhambra Blvd,,,Sacramento,95816,19168826888.0
89,3027-del,del-taco-sacramento-4,Del Taco,2.2,$,142,"['Mexican', 'Fast Food']",38.5720500350977,-121.465944022361,"['3027 K St', 'Sacramento, CA 95816']",3027 K St,,,Sacramento,95816,19164466687.0
90,1127-jam,jamba-sacramento-44,Jamba,3.7,$,79,['Juice Bars & Smoothies'],38.57066,-121.46597,"['1127 Alhambra Blvd', 'Sacramento, CA 95816']",1127 Alhambra Blvd,,,Sacramento,95816,19167372051.0
91,1221-sus,sushi-cafe-sacramento-2,Sushi Cafe,3.7,$$,630,"['Japanese', 'Sushi Bars']",38.5696754455566,-121.465873718262,"['1221 Alhambra Blvd', 'Ste 103', 'Sacramento, CA 95816']",1221 Alhambra Blvd,,,Sacramento,95816,19164516888.0
92,3135-kru,kru-contemporary-japanese-cuisine-sacramento-3,Kru Contemporary Japanese Cuisine,4.4,$$,1475,"['Japanese', 'Sushi Bars']",38.569271,-121.465787,"['3135 Folsom Blvd', 'Sacramento, CA 95816']",3135 Folsom Blvd,,,Sacramento,95816,19165511559.0
93,3145-obo,obo-italian-table-and-bar-sacramento-2,OBO' Italian Table & Bar,3.9,$$,1008,"['Italian', 'Bars', 'Pizza']",38.5690654932177,-121.465808722677,"['3145 Folsom Blvd', 'Sacramento, CA 95816']",3145 Folsom Blvd,,,Sacramento,95816,19168228720.0
94,3000-the,the-original-mels-sacramento-5,The Original Mels,3.1,$$,462,"['Diners', 'Breakfast & Brunch', 'American']",38.5728532,-121.46632,"['3000 J St', 'Sacramento, CA 95816']",3000 J St,,,Sacramento,95816,19164446357.0
95,3101-jay,jayna-gyro-sacramento-sacramento,Jayna Gyro - Sacramento,4.3,$$,342,"['Mediterranean', 'Greek']",38.56957115592863,-121.46621558631824,"['3101 Folsom Blvd', 'Sacramento, CA 95816']",3101 Folsom Blvd,,,Sacramento,95816,19168982708.0
96,3006-mcd,mcdonalds-sacramento-14,McDonald's,2.1,$,186,"['Fast Food', 'Burgers', 'Coffee & Tea']",38.5715470163096,-121.466804875304,"['3006 K St', 'Sacramento, CA 95816']",3006 K St,,,Sacramento,95816,19164572251.0
97,502-pin,pine-cove-bottle-shop-sacramento,Pine Cove Bottle Shop,3.7,$$,3,"['Beer, Wine & Spirits']",38.57881,-121.465779,"['502 29th St', 'Sacramento, CA 95814']",502 29th St,,,Sacramento,95814,
98,6000-sai,saigon-bay-express-sacramento,Saigon Bay Express,3.2,$,68,['Vietnamese'],38.5601836575765,-121.424670881974,"['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,19162786490.0
99,1719-can,canon-sacramento-2,Canon,4.1,$$$$,572,"['Cocktail Bars', 'New American', 'Gluten-Free']",38.5644547,-121.4647032,"['1719 34th St', 'Sacramento, CA 95816']",1719 34th St,,,Sacramento,95816,19164692433.0
100,2130-cot,cottage-mart-sacramento,Cottage Mart,4.2,$,52,"['Grocery', 'Indian']",38.5537109375,-121.446060180664,"['2130 51st St', 'Sacramento, CA 95817']",2130 51st St,,,Sacramento,95817,19167396310.0
101,2820-rkm,rk-mini-mart-sacramento,RK Mini Mart,2.9,$,8,['Convenience Stores'],38.57885262370182,-121.4660921,"['2820 E St', 'Sacramento, CA 95816']",2820 E St,,,Sacramento,95816,19164414970.0
102,3030-the,the-habit-burger-grill-sacramento-5,The Habit Burger Grill,3.5,$$,46,"['Salad', 'Burgers', 'Sandwiches']",38.569221,-121.467005,"['3030 Capitol Ave.', 'Sacramento, CA 95816']",3030 Capitol Ave.,,,Sacramento,95816,19166209499.0
103,730-cir,circle-k-sacramento-4,Circle K,3.0,$,3,"['Convenience Stores', 'Gas Stations']",38.576141,-121.4669204,"['730 29th St', 'Sacramento, CA 95816']",730 29th St,,,Sacramento,95816,19164488003.0
104,1401-sta,starbucks-sacramento-99,Starbucks,3.7,$$,125,['Coffee & Tea'],38.5681,-121.46702,"['1401 Alhambra Blvd', 'Sacramento, CA 95816']",1401 Alhambra Blvd,,,Sacramento,95816,19164521707.0
105,1725-sac,sacyard-community-tap-house-sacramento-2,SacYard Community Tap House,4.5,$$,249,"['Beer Bar', 'Beer Gardens', 'Food Trucks']",38.5642675099592,-121.465629972517,"['1725 33rd St', 'Sacramento, CA 95816']",1725 33rd St,,,Sacramento,95816,19164004708.0
106,500-hea,heart-rock-cafe-sacramento,Heart Rock Cafe,2.5,$,2,"['Cafes', 'Coffee & Tea']",38.568333,-121.417969,"['500 University Ave', 'Sacramento, CA 95825']",500 University Ave,,,Sacramento,95825,
107,2001-sta,starbucks-sacramento-200,Starbucks,3.0,$$,88,['Coffee & Tea'],38.559097,-121.461684,"['2001 Stockton Blvd', 'Sacramento, CA 95817']",2001 Stockton Blvd,,,Sacramento,95817,19164557553.0
108,6200-gio,giovannis-old-world-new-york-pizzeria-sacramento,Giovanni's Old World New York Pizzeria,3.6,$$,824,"['Pizza', 'Italian']",38.555167389412,-121.430451236236,"['6200 Folsom Blvd', 'Sacramento, CA 95819']",6200 Folsom Blvd,,,Sacramento,95819,19164558831.0
109,6000-gru,grumpy-mule-sacramento-2,Grumpy Mule,3.7,$,36,['Cafeteria'],38.5594929405079,-121.423519904109,"['6000 J St', 'Sacramento, CA 95819']",6000 J St,,,Sacramento,95819,19162782860.0
